epoch,train_loss,val_loss,val_iou,learning_rate
1,0.557640,0.530129,0.474504,0.00097555
2,0.505819,0.516024,0.473935,0.00090460
3,0.495102,0.511331,0.484076,0.00079410
4,0.488293,0.504053,0.496425,0.00065485
5,0.480577,0.502410,0.495243,0.00050050
6,0.478030,0.497538,0.497815,0.00034615
1,0.486426,0.504024,0.492607,0.00097555
7,0.472807,0.494658,0.501800,0.00020690
2,0.481946,0.499827,0.499213,0.00090460
8,0.471687,0.493394,0.506946,0.00009640
1,0.552820,0.529319,0.467162,0.00097555
3,0.477187,2.181177,0.211061,0.00079410
9,0.469317,2.284835,0.213184,0.00002545
4,0.520103,0.505604,0.499271,0.00065485
10,0.603062,0.532460,0.471717,0.00100000
5,0.492751,0.499665,0.501789,0.00050050
11,0.499436,0.504527,0.501839,0.00099385
6,0.488160,0.498029,0.504746,0.00034615
12,0.491492,0.502497,0.499590,0.00097555
7,0.484258,0.494870,0.512070,0.00020690
13,0.487736,0.499629,0.502072,0.00094556
2,0.538234,0.521807,0.481012,0.00090460
8,0.483679,0.493667,0.512207,0.00009640
14,0.488226,0.496881,0.507093,0.00090460
9,0.480435,0.492585,0.511466,0.00002545
15,0.484550,0.495865,0.509335,0.00085370
10,0.480255,0.492062,0.515245,0.00100000
1,0.482954,0.495456,0.504309,0.00097555
11,0.488199,0.496351,0.505454,0.00099385
3,0.510215,0.514451,0.490918,0.00079410
2,0.482855,0.492921,0.510241,0.00090460
